Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-06-07,OCEA,5.59,5.559,5.68,5.5,-0.17857142857142477,5.6,5.4,5.6997,5.4,466719.0,5.53,5.48,5.79,5.2838,469145.0
2023-06-08,OCEA,5.45,5.565,5.67,5.45,-1.8018018018017956,5.55,5.59,5.68,5.45,182292.0,5.6,5.4,5.6997,5.4,466719.0
2023-06-09,OCEA,5.36,5.289,5.4,5.13,0.1869158878504799,5.35,5.45,5.6699,5.35,286604.0,5.55,5.59,5.68,5.45,182292.0
2023-06-12,OCEA,5.49,5.4,5.49,5.3,-1.081081081081074,5.55,5.36,5.55,5.13,293181.0,5.35,5.45,5.6699,5.35,286604.0
2023-06-13,OCEA,5.45,5.41,5.45,5.25,1.8691588785046829,5.35,5.49,5.49,5.2,152091.0,5.55,5.36,5.55,5.13,293181.0
2023-06-14,OCEA,5.31,5.32,5.475,5.25,-0.3752345215759937,5.33,5.45,5.55,5.25,182228.0,5.35,5.49,5.49,5.2,152091.0
2023-06-15,OCEA,5.07,5.24,5.24,5.04,-2.3121387283237014,5.19,5.31,5.475,5.0,233101.0,5.33,5.45,5.55,5.25,182228.0
2023-06-16,OCEA,5.13,5.23,5.25,5.13,-0.773694390715668,5.17,5.07,5.35,5.04,269306.0,5.19,5.31,5.475,5.0,233101.0
2023-06-20,OCEA,5.0,5.0,5.09,4.96,1.8329938900203637,4.91,5.13,5.29,4.91,397579.0,5.17,5.07,5.35,5.04,269306.0
2023-06-21,OCEA,7.75,6.601,7.96,6.44,45.6766917293233,5.32,5.0,5.35,4.96,222955.0,4.91,5.13,5.29,4.91,397579.0
2023-06-22,OCEA,6.36,6.25,6.5,5.9,-6.0561299852289405,6.77,7.75,7.96,6.25,38733966.0,5.32,5.0,5.35,4.96,222955.0
2023-06-23,OCEA,6.95,6.742,6.968,6.511,1.6081871345029288,6.84,6.36,6.885,5.9,1422427.0,6.77,7.75,7.96,6.25,38733966.0
2023-06-26,OCEA,7.29,6.61,7.29,6.54,4.142857142857143,7.0,6.95,7.07,6.07,2745939.0,6.84,6.36,6.885,5.9,1422427.0
