Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-10-13,HSCS,0.382,0.389,0.42,0.37,-3.2405063291139324,0.395,0.4132,0.425,0.39,30688.0,0.3921,0.4296,0.4296,0.3921,21187.0
2023-10-16,HSCS,0.38,0.4,0.42,0.376,1.1984021304926775,0.3755,0.3822,0.42,0.37,33357.0,0.395,0.4132,0.425,0.39,30688.0
2023-10-17,HSCS,0.399,0.4,0.406,0.391,7.987220447284353,0.3756,0.38,0.4199,0.3756,69040.0,0.3755,0.3822,0.42,0.37,33357.0
2023-10-18,HSCS,0.381,0.381,0.381,0.381,-2.033462033462038,0.3885,0.4056,0.4056,0.3884,16612.0,0.3756,0.38,0.4199,0.3756,69040.0
2023-10-19,HSCS,0.376,0.376,0.376,0.376,0.026631158455389874,0.3755,0.3806,0.4,0.3755,26012.0,0.3885,0.4056,0.4056,0.3884,16612.0
2023-10-20,HSCS,0.375,0.375,0.41,0.375,-0.2631578947368423,0.38,0.3756,0.3999,0.3755,25871.0,0.3755,0.3806,0.4,0.3755,26012.0
2023-10-23,HSCS,0.39,0.399,0.42,0.38,0.6711409395973131,0.3874,0.379,0.41,0.3755,78952.0,0.38,0.3756,0.3999,0.3755,25871.0
2023-10-24,HSCS,0.38,0.351,0.39,0.351,0.0,0.3801,0.39,0.4199,0.378,125747.0,0.3874,0.379,0.41,0.3755,78952.0
2023-10-25,HSCS,0.3,0.3,0.325,0.295,-0.8264462809917362,0.3025,0.3801,0.39,0.2923,291154.0,0.3801,0.39,0.4199,0.378,125747.0
2023-10-26,HSCS,0.246,0.252,0.26,0.24,0.4074979625101878,0.2454,0.3,0.325,0.2313,270415.0,0.3025,0.3801,0.39,0.2923,291154.0
2023-10-27,HSCS,0.25,0.25,0.253,0.245,4.123281965847561,0.2401,0.2464,0.26,0.2317,159659.0,0.2454,0.3,0.325,0.2313,270415.0
2023-10-30,HSCS,0.253,0.266,0.266,0.253,1.079999999999992,0.25,0.25,0.2666,0.2445,81411.0,0.2401,0.2464,0.26,0.2317,159659.0
2023-10-31,HSCS,0.246,0.24,0.246,0.24,0.6958657388456845,0.2443,0.2527,0.2776,0.2411,86803.0,0.25,0.25,0.2666,0.2445,81411.0
2023-11-01,HSCS,0.238,0.26,0.26,0.238,-4.293739967897277,0.2492,0.246,0.26,0.231,60016.0,0.2443,0.2527,0.2776,0.2411,86803.0
2023-11-02,HSCS,0.231,0.215,0.237,0.212,0.43478260869565255,0.23,0.2385,0.2599,0.2013,387832.0,0.2492,0.246,0.26,0.231,60016.0
2023-11-03,HSCS,0.21,0.207,0.211,0.201,-0.5210800568451054,0.2111,0.231,0.2375,0.211,162723.0,0.23,0.2385,0.2599,0.2013,387832.0
2023-11-06,HSCS,0.249,0.21,0.249,0.205,7.705627705627697,0.231,0.21,0.2571,0.1953,798998.0,0.2111,0.231,0.2375,0.211,162723.0
